Rede,Bairro,Endereço,Região,CEP,Cidade,Tipo de recarga,Tipo de Estabelecimento,Estabelecimento,Tipo de Atendimento
PLDEVICE,BRAS,"PRAÇA AGENTE CICERO, S/N",ZONA LESTE,03004-010,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA JULIA,PÚBLICO
PLDEVICE,BRAS,"RUA DO LUCAS, 76",ZONA LESTE,03005-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,MINI MERCADO,SANY MINI MERCADO,PÚBLICO
PLDEVICE,BRAS,"RUA DA ALFANDEGA, 200",ZONA LESTE,03006-030,SAO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,EMPRESA,CENTERBRAS,PRIVADO
PLDEVICE,BRAS,"RUA DA ALFANDEGA, 209/211",ZONA LESTE,03006-030,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,LOTÉRICA,MOMENTO DA SORTE LOTERIAS,PÚBLICO
PLDEVICE,BRAS,"RUA BARAO DE LADARIO, 331, LOJA 135",ZONA LESTE,03010-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,ACESS MANUT CEL,MEGA SMART CONSERTA,PÚBLICO
PLDEVICE,BRAS,"RUA BARÃO DE LADARIO, 987",ZONA LESTE,03010-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,MERCEARIA,MADINA MINI MERCADO,PÚBLICO
PLDEVICE,BRAS,"LARGO DA CONCORDIA, 25",ZONA LESTE,03012-010,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA  ARISTIDES,PÚBLICO
PLDEVICE,BRAS,"LARGO DA CONCORDIA, 85",ZONA LESTE,03012-010,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA  VIANA,PÚBLICO
PLDEVICE,BRAS,"RUA RUBINO DE OLIVEIRA, 42",ZONA LESTE,03012-060,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BOMBONIERE,BOMBONIERE DA LARISSA,PÚBLICO
PLDEVICE,BRAS,"RUA PARAIBA, 60",ZONA LESTE,03013-030,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,LOJA DE SEGURANÇA,WPS SEGURANÇA,PÚBLICO
